pos_lat,pos_long,points,name,description,enabled
47.499027252197,8.7285346984863,10,Stadtchile,"Chile ide Altstadt",1
47.498758398958245,8.731134831905365,10,Holzmaa,"Er war mal hier",1
47.50092383411447,8.726577758789062,10,Ufos,"Aliens auf dem Merkurplatz",1
47.494706674598476,8.713542222976685,10,"Diviko WG","Betreutes Wohnen für altgediente Divikonianer",1
47.494746,8.717842,10,Chrafti,"Was isch looos?",1
47.49552,8.716337,10,Fabrikk,"Schaffä, schaffä, Loki baue",1
47.498473895819,8.7321674823761,10,"La Cyma",,1
47.498347046788,8.7311053276062,10,"Brunne im Grabe",,1
47.498354295313,8.7293189764023,10,Albani,badum'tss,1
47.499869214927,8.7350749969482,10,"Vögelipark Brunne","Brunne im Lindeguetpark",1
47.499659013382,8.7345841526985,10,"Voliere im Vögelipark","Genau drum seit mer em Lindeguetpark ebe anders ...",1
47.499945322176,8.7317617982626,10,Sandwich,"Feini grossi Sandwich",1
47.500594041387,8.731429874897,10,"Stadthus Brunne","Ideal für Wasserschlachte im Summer!",1
47.500945578617,8.7288951873779,10,"Stadtpark Brunne","Brunne im Stadtpark",1
47.499664449639,8.7336346507072,10,Pauseplätzli,"Pauseplätzli im Vögelipark",1
47.497415603092,8.7221360206604,10,Salzhaus,"Da steppt de Bär",1
47.498945046677,8.7238097190857,10,Metallpilz,"Busbahnhof Winterthur",1
47.498926925569,8.7296703457832,10,Strings,"Wenn nüme ali Saite hesch",1
47.499590154072,8.7311509251595,10,"Springbrunne im Grabe","Spring Brunne, spring!",1
47.499755053848,8.7265482544899,10,Casiontheater,"Früehner me Glück, hüt macheds Theater",1
47.500333105015,8.7290292978287,10,"Am Öski sind Bilder","Da het de Oskar Reinhart vil gsammled",1
47.50092021003,8.7314110994339,10,Stadthuus,"So mit Statue uf em Dach und so ... het de Semper mal plant",1
47.500586793172,8.7338760495186,10,"Hässlichi Kunscht","Die wohl hässlichschti Skulptur vo Winti",1
47.499796383446,8.7182575464249,10,"Sulzer Hochhus","Das isch recht lang mal s'höchscht Huus vo de Schweiz gsi.",1
47.501303211647,8.7178391218185,10,"Bierkurve FCW","d'Fankurve vom FC Winterthur",1
47.495045239939,8.7188422679901,10,Skillspark,"Gump, Fahr und hoffentlich nid Unfallort",1
47.495791879632,8.7188315391541,10,Portier,"Igangslokal zum Lagerplatzareal",1
47.494363831341,8.7185311317444,10,"Les Wagons","Esse im alte Üetlibergbähnli",1
47.493327203433,8.7160205841064,10,"ZHAW Architektur","Architektur Departement der ZHAW",1
47.501118704395,8.7146687507629,10,"Hin und Her","Da wierds eim trümlig bim zueluege",1
47.497538622834,8.7191614508629,10,Superblock,"Da drin isch d'Stadtverwaltig",1
47.496241308115,8.7178015708923,10,"Halle 53","Meh als nur es Parkhus",1
47.496683483998,8.7140035629272,10,Brüehlguetpark,"De Park mit em chrumme Haag",1
47.492779324749,8.7138158082962,10,"Schuelhus Tössfeld","Het es riesigs Umspannwerk under em Sportplatz",1
47.495233713096,8.7214547395706,10,Entlipark,"Heisst eigentlich Frohbergpark",1
47.495193843831,8.7203818559647,10,Wylandbrugg,"Kein Ahnig warum die so heisst",1
47.496701605881,8.7191104888916,10,"ZHAW Bibliothek","Büecher, Büecher und no meh Büecher",1
47.501250000708,8.7198615074158,10,"Sankt Peter und Paul","Ding Dong und so",1
47.500829607832,8.7304401397705,10,"Altstadt Schulhaus","Alti Stadt, jungi Schüeler",1
47.499109948479,8.7327817082405,10,"S'Chliinschte Hüsli","S'chlinschte Huus vo Winti",1
47.498897931782,8.7338465452194,10,"Schuelhus Geiselweid","Ob da d'Lehrer sich da mängishc als Geisel fühled?",1
47.498053480714,8.7164282798767,10,"Anton-Graff Berufschule",Bruefsschuel,1
47.49151486772,8.7142825126648,10,HaltestelleTössfeld,"Feld neb de Töss",1
47.493907137652,8.7108278274536,10,"Haltestelle Gaswerk","Gasigi Station",1
47.500565048521,8.7190622091293,10,"S24 WG",,1
47.50033672914,8.723863363266,10,"Hauptbahnhof Winterthur",,1
47.500133777745,8.724582195282,10,"Hauptpost Winterthur",,1
47.493783902166,8.7102001905441,10,Gaswerk,,1
47.494558025133,8.7168842554092,10,Webling,,1
47.49843765327,8.7213313579559,10,Kesselhaus,,1
47.499601620182,8.7152749300003,10,"Zupf und weg",,1
47.496524011158,8.7121260166168,10,Brüehlguet,,1
47.498386706442,8.7205778175827,10,"Plan B",,1
47.501994530675,8.7224875586417,10,"Vegan Store",,1
47.501165192818,8.7215375066874,10,Wartstrasse,,1
47.500862852929,8.7200333545497,10,"Hey Paul",,1
47.500003138139,8.7226470883934,10,Bahnhof,,1
47.499906104549,8.7166428926205,10,"Halbe schöni Ussicht",,1
47.499075789928,8.7150693680317,10,"Schlittle im Winter",,1
47.498443097312,8.7264518553253,10,Neumärt,,1
47.497886763447,8.724503230476,10,Archhöfe,,1
47.499640892519,8.7212738508221,10,Neuwiesen,,1
